F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
-4.14,0,-4.8688,2193.6,1,1.3239,3.0866,-4.3687,8269.76,-11.487,-4832.13,44.386,10.918,-4.5686,-3336.16,-96949.2,-22.596,8318.43,-167.29,-12.61,False
-4.14,1,-7.1,2048.535,1,1.07749,3.3369,-5.394,8510.14,-12.9585,-5526.53,70.12,9.1844,-5.6646,-3976.8,-96643.4,-16.644,10232.13,1904.61,-13.47,True
-1.14,0,-4.5126,2124.27,0,2.274,3.704,-6.501,8590.68,-14.958,-6269.73,40.332,9.0464,-4.43472,-3658.36,-96928.334,-15.981,9488.88,56.45,-13.61,False
-1.14,1,-3.8394,2115.45,1,1.7843,3.103,-4.0891,8023.44,-11.5266,-6943.63,95.74,7.5216,-4.43918,-4100.04,-96919.307,-14.865,10680.63,316.91,-13.31,True
-1.14,0,-3.567,2430.21,1,1.7345,3.2569,-4.3694,4814.64,-10.67961,-5391.38,46.376,10.186,-6.346,-3892.74,-96862.72,-10.84545,10308.33,203.6,,True
-4.14,1,-9.392,2076.81,1,1.1999,4.227,-4.2143,8719.64,-16.053,-5402.39,100.2,8.7672,-5.075,-4237.56,-96933.45,-12.1755,9936.84,1209.61,-11.67,False
-4.14,1,-11.314,2121.66,0,1.2753,3.02244,-3.9692,8101.64,-15.939,-5463.04,46.43,8.7244,-5.511,-3489.36,-96939.52,-15.951,9584.88,1103.11,-12.41,False
-1.14,0,-6.606,1891.2,1,1.6503,3.01439,-4.1967,7371.24,-22.53,-5879.43,81.22,7.7362,-4.829,-3809.6,-96909.616,-14.25,9863.91,-243.59,-12.78,True
-1.14,1,-8.256,1978.44,1,3.18,3.014,-4.2289,7949.84,-15.783,-8477.63,59.68,7.7792,-4.3907,-3598.96,-97406.6,-12.6909,9995.4,108.24,,True
-1.14,0,-3.6002,2255.88,0,1.7871,3.1772,-4.0158,8713.64,-11.1963,-5484.25,49.77,8.5602,-9.886,-1445.36,-96873.06,-12.5013,7645.23,-36.19,,False
-4.14,1,-4.4472,1800.24,1,1.07275,3.8063,-3.8676,8148.64,-13.509,-5643.93,73.32,9.365,-6.524,-2387.76,-96917.546,-12.2103,10061.01,-929.39,,True
-1.14,0,-3.6172,2151.66,0,1.1944,3.6008,-4.5029,8544.68,-20.922,-5465.5,58.94,9.6,-12.588,-2910.56,-96940.44,-13.4511,9630.66,-717.69,-12.63,False
